attempt_no,variant_id,regime_owner,mechanic,geometry_id,raw_signal_count,minimum_era_raw_signal_count,parameters_json
29249,0038e6671e564b00,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_BALANCED,112,16,"{""age_min"":16,""geometry_id"":""C_BALANCED"",""hour_window"":""LONDON"",""reentry_atr"":0.0,""sweep_atr"":0.0,""wick_min"":0.1,""width_atr_max"":4.0,""width_atr_min"":1.0}"
29250,003938d8c8433571,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_BALANCED,576,111,"{""age_min"":16,""geometry_id"":""C_BALANCED"",""hour_window"":""LONDON_NY"",""reentry_atr"":0.03,""sweep_atr"":0.0,""wick_min"":0.25,""width_atr_max"":6.0,""width_atr_min"":1.0}"
29251,003f2a82d4b69326,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_SCALP,108,19,"{""age_min"":32,""geometry_id"":""C_SCALP"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.03,""sweep_atr"":0.12,""wick_min"":0.4,""width_atr_max"":6.0,""width_atr_min"":1.0}"
29252,0042b6865975a2a1,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_BALANCED,548,113,"{""age_min"":8,""geometry_id"":""C_BALANCED"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.03,""sweep_atr"":0.12,""wick_min"":0.1,""width_atr_max"":6.0,""width_atr_min"":1.0}"
29253,004f3f6e32a52ab8,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_EXTENDED,119,20,"{""age_min"":8,""geometry_id"":""C_EXTENDED"",""hour_window"":""LONDON"",""reentry_atr"":0.07,""sweep_atr"":0.03,""wick_min"":0.25,""width_atr_max"":4.0,""width_atr_min"":3.0}"
29254,0052e63baddb998d,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_SCALP,192,44,"{""age_min"":8,""geometry_id"":""C_SCALP"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.0,""sweep_atr"":0.07,""wick_min"":0.4,""width_atr_max"":4.0,""width_atr_min"":2.0}"
29255,0055c6a9ec2218ec,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_BALANCED,127,17,"{""age_min"":64,""geometry_id"":""C_BALANCED"",""hour_window"":""LONDON_NY"",""reentry_atr"":0.07,""sweep_atr"":0.0,""wick_min"":0.1,""width_atr_max"":6.0,""width_atr_min"":1.0}"
29256,005cddec03d24675,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_SCALP,568,114,"{""age_min"":32,""geometry_id"":""C_SCALP"",""hour_window"":""LONDON_NY"",""reentry_atr"":0.0,""sweep_atr"":0.0,""wick_min"":0.25,""width_atr_max"":8.0,""width_atr_min"":1.0}"
29257,005f8d73107e20b9,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_EXTENDED,215,32,"{""age_min"":32,""geometry_id"":""C_EXTENDED"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.07,""sweep_atr"":0.0,""wick_min"":0.1,""width_atr_max"":6.0,""width_atr_min"":3.0}"
29258,00647e88a3445f38,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_EXTENDED,649,121,"{""age_min"":16,""geometry_id"":""C_EXTENDED"",""hour_window"":""LONDON_NY"",""reentry_atr"":0.03,""sweep_atr"":0.0,""wick_min"":0.1,""width_atr_max"":6.0,""width_atr_min"":3.0}"
29259,0066160e7031961b,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_BALANCED,852,170,"{""age_min"":8,""geometry_id"":""C_BALANCED"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.07,""sweep_atr"":0.0,""wick_min"":0.25,""width_atr_max"":8.0,""width_atr_min"":2.0}"
29260,007fac721bfd072f,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_EXTENDED,390,82,"{""age_min"":8,""geometry_id"":""C_EXTENDED"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.07,""sweep_atr"":0.12,""wick_min"":0.4,""width_atr_max"":8.0,""width_atr_min"":3.0}"
29261,008694f4e5e82886,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_EXTENDED,258,46,"{""age_min"":8,""geometry_id"":""C_EXTENDED"",""hour_window"":""LONDON"",""reentry_atr"":0.03,""sweep_atr"":0.03,""wick_min"":0.1,""width_atr_max"":4.0,""width_atr_min"":2.0}"
29262,0087d9008c974e88,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_BALANCED,568,114,"{""age_min"":32,""geometry_id"":""C_BALANCED"",""hour_window"":""LONDON_NY"",""reentry_atr"":0.0,""sweep_atr"":0.0,""wick_min"":0.25,""width_atr_max"":8.0,""width_atr_min"":2.0}"
29263,008ff50bdee9ccbb,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_EXTENDED,496,105,"{""age_min"":8,""geometry_id"":""C_EXTENDED"",""hour_window"":""LONDON"",""reentry_atr"":0.07,""sweep_atr"":0.0,""wick_min"":0.25,""width_atr_max"":8.0,""width_atr_min"":3.0}"
29264,0092a562076f2889,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_EXTENDED,567,112,"{""age_min"":16,""geometry_id"":""C_EXTENDED"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.03,""sweep_atr"":0.0,""wick_min"":0.25,""width_atr_max"":8.0,""width_atr_min"":3.0}"
29265,00a4c22c13c2cf80,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_EXTENDED,895,193,"{""age_min"":8,""geometry_id"":""C_EXTENDED"",""hour_window"":""LONDON_NY"",""reentry_atr"":0.07,""sweep_atr"":0.0,""wick_min"":0.4,""width_atr_max"":8.0,""width_atr_min"":1.0}"
29266,00a92f7c7db90eec,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_EXTENDED,767,171,"{""age_min"":8,""geometry_id"":""C_EXTENDED"",""hour_window"":""LONDON_NY"",""reentry_atr"":0.07,""sweep_atr"":0.07,""wick_min"":0.4,""width_atr_max"":8.0,""width_atr_min"":1.0}"
29267,00aa62a3204ea954,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_BALANCED,294,66,"{""age_min"":8,""geometry_id"":""C_BALANCED"",""hour_window"":""ALL_LIQUID"",""reentry_atr"":0.07,""sweep_atr"":0.12,""wick_min"":0.4,""width_atr_max"":4.0,""width_atr_min"":1.0}"
29268,00abd683909d8835,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_SCALP,127,18,"{""age_min"":64,""geometry_id"":""C_SCALP"",""hour_window"":""LONDON_NY"",""reentry_atr"":0.0,""sweep_atr"":0.03,""wick_min"":0.1,""width_atr_max"":6.0,""width_atr_min"":2.0}"
29269,00b56b4681615c2c,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_BALANCED,522,104,"{""age_min"":8,""geometry_id"":""C_BALANCED"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.07,""sweep_atr"":0.0,""wick_min"":0.4,""width_atr_max"":8.0,""width_atr_min"":3.0}"
29270,00b85e851171f41f,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_BALANCED,109,15,"{""age_min"":64,""geometry_id"":""C_BALANCED"",""hour_window"":""ALL_LIQUID"",""reentry_atr"":0.07,""sweep_atr"":0.03,""wick_min"":0.25,""width_atr_max"":6.0,""width_atr_min"":2.0}"
29271,00c17b8ff23809b8,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_BALANCED,479,90,"{""age_min"":16,""geometry_id"":""C_BALANCED"",""hour_window"":""LONDON"",""reentry_atr"":0.0,""sweep_atr"":0.03,""wick_min"":0.1,""width_atr_max"":8.0,""width_atr_min"":2.0}"
29272,00c6c1f1e33e3032,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_BALANCED,230,43,"{""age_min"":16,""geometry_id"":""C_BALANCED"",""hour_window"":""LONDON"",""reentry_atr"":0.03,""sweep_atr"":0.07,""wick_min"":0.25,""width_atr_max"":6.0,""width_atr_min"":1.0}"
29273,00eafddc4b440c72,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_EXTENDED,178,34,"{""age_min"":32,""geometry_id"":""C_EXTENDED"",""hour_window"":""LONDON"",""reentry_atr"":0.07,""sweep_atr"":0.12,""wick_min"":0.25,""width_atr_max"":8.0,""width_atr_min"":3.0}"
29274,00ee73adb7d7241a,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_BALANCED,794,163,"{""age_min"":16,""geometry_id"":""C_BALANCED"",""hour_window"":""LONDON_NY"",""reentry_atr"":0.07,""sweep_atr"":0.03,""wick_min"":0.25,""width_atr_max"":8.0,""width_atr_min"":2.0}"
29275,00f7afaa0b54a48f,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_BALANCED,598,130,"{""age_min"":16,""geometry_id"":""C_BALANCED"",""hour_window"":""ALL_LIQUID"",""reentry_atr"":0.07,""sweep_atr"":0.07,""wick_min"":0.4,""width_atr_max"":8.0,""width_atr_min"":3.0}"
29276,00fbfa1a761fd71e,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_EXTENDED,989,202,"{""age_min"":8,""geometry_id"":""C_EXTENDED"",""hour_window"":""ALL_LIQUID"",""reentry_atr"":0.03,""sweep_atr"":0.07,""wick_min"":0.25,""width_atr_max"":6.0,""width_atr_min"":1.0}"
29277,00fc2405c56bab04,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_BALANCED,299,59,"{""age_min"":16,""geometry_id"":""C_BALANCED"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.03,""sweep_atr"":0.12,""wick_min"":0.1,""width_atr_max"":6.0,""width_atr_min"":3.0}"
29278,00fcab62a168199b,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_SCALP,1120,242,"{""age_min"":8,""geometry_id"":""C_SCALP"",""hour_window"":""LONDON_NY"",""reentry_atr"":0.07,""sweep_atr"":0.03,""wick_min"":0.1,""width_atr_max"":8.0,""width_atr_min"":3.0}"
29279,00ff590427de85d8,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_EXTENDED,443,93,"{""age_min"":16,""geometry_id"":""C_EXTENDED"",""hour_window"":""ALL_LIQUID"",""reentry_atr"":0.03,""sweep_atr"":0.03,""wick_min"":0.4,""width_atr_max"":6.0,""width_atr_min"":2.0}"
29280,01010198483a3158,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_BALANCED,839,168,"{""age_min"":8,""geometry_id"":""C_BALANCED"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.07,""sweep_atr"":0.0,""wick_min"":0.1,""width_atr_max"":8.0,""width_atr_min"":3.0}"
29281,01016dee81d689df,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_BALANCED,579,111,"{""age_min"":8,""geometry_id"":""C_BALANCED"",""hour_window"":""LONDON"",""reentry_atr"":0.03,""sweep_atr"":0.0,""wick_min"":0.1,""width_atr_max"":6.0,""width_atr_min"":1.0}"
29282,01040d8626a7a51e,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_SCALP,213,32,"{""age_min"":32,""geometry_id"":""C_SCALP"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.0,""sweep_atr"":0.03,""wick_min"":0.1,""width_atr_max"":6.0,""width_atr_min"":2.0}"
29283,010810225588516c,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_BALANCED,1113,246,"{""age_min"":8,""geometry_id"":""C_BALANCED"",""hour_window"":""LONDON_NY"",""reentry_atr"":0.0,""sweep_atr"":0.07,""wick_min"":0.25,""width_atr_max"":8.0,""width_atr_min"":2.0}"
29284,0109226b3f021c60,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_EXTENDED,344,51,"{""age_min"":32,""geometry_id"":""C_EXTENDED"",""hour_window"":""LONDON_NY"",""reentry_atr"":0.07,""sweep_atr"":0.0,""wick_min"":0.1,""width_atr_max"":6.0,""width_atr_min"":1.0}"
29285,010b4d5528f3241c,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_BALANCED,678,137,"{""age_min"":8,""geometry_id"":""C_BALANCED"",""hour_window"":""LONDON"",""reentry_atr"":0.03,""sweep_atr"":0.03,""wick_min"":0.1,""width_atr_max"":8.0,""width_atr_min"":1.0}"
29286,0116928d4c826921,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_SCALP,309,62,"{""age_min"":8,""geometry_id"":""C_SCALP"",""hour_window"":""LONDON"",""reentry_atr"":0.03,""sweep_atr"":0.07,""wick_min"":0.25,""width_atr_max"":6.0,""width_atr_min"":3.0}"
29287,011a23b47bbdde52,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_SCALP,240,49,"{""age_min"":8,""geometry_id"":""C_SCALP"",""hour_window"":""ALL_LIQUID"",""reentry_atr"":0.0,""sweep_atr"":0.12,""wick_min"":0.25,""width_atr_max"":4.0,""width_atr_min"":3.0}"
29288,011dc56c38e38961,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_EXTENDED,319,53,"{""age_min"":64,""geometry_id"":""C_EXTENDED"",""hour_window"":""ALL_LIQUID"",""reentry_atr"":0.07,""sweep_atr"":0.0,""wick_min"":0.1,""width_atr_max"":8.0,""width_atr_min"":1.0}"
29289,0141ac4f938fb7a6,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_BALANCED,356,65,"{""age_min"":16,""geometry_id"":""C_BALANCED"",""hour_window"":""LONDON"",""reentry_atr"":0.03,""sweep_atr"":0.07,""wick_min"":0.25,""width_atr_max"":8.0,""width_atr_min"":1.0}"
29290,0145b24d1cf8a326,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_EXTENDED,659,130,"{""age_min"":32,""geometry_id"":""C_EXTENDED"",""hour_window"":""ALL_LIQUID"",""reentry_atr"":0.03,""sweep_atr"":0.03,""wick_min"":0.1,""width_atr_max"":8.0,""width_atr_min"":2.0}"
29291,014a6f02b23ec278,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_BALANCED,1122,227,"{""age_min"":8,""geometry_id"":""C_BALANCED"",""hour_window"":""ALL_LIQUID"",""reentry_atr"":0.0,""sweep_atr"":0.03,""wick_min"":0.25,""width_atr_max"":6.0,""width_atr_min"":1.0}"
29292,0151880f99bea034,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_BALANCED,198,39,"{""age_min"":32,""geometry_id"":""C_BALANCED"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.03,""sweep_atr"":0.12,""wick_min"":0.4,""width_atr_max"":8.0,""width_atr_min"":3.0}"
29293,015aad20f69836ce,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_BALANCED,155,21,"{""age_min"":16,""geometry_id"":""C_BALANCED"",""hour_window"":""ALL_LIQUID"",""reentry_atr"":0.0,""sweep_atr"":0.12,""wick_min"":0.1,""width_atr_max"":4.0,""width_atr_min"":2.0}"
29294,015cc878794c32b6,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_SCALP,627,124,"{""age_min"":32,""geometry_id"":""C_SCALP"",""hour_window"":""LONDON_NY"",""reentry_atr"":0.07,""sweep_atr"":0.0,""wick_min"":0.1,""width_atr_max"":8.0,""width_atr_min"":2.0}"
29295,016c4a9cbebf15b3,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_BALANCED,244,47,"{""age_min"":8,""geometry_id"":""C_BALANCED"",""hour_window"":""LONDON"",""reentry_atr"":0.07,""sweep_atr"":0.0,""wick_min"":0.25,""width_atr_max"":4.0,""width_atr_min"":1.0}"
29296,0176b014c3ccd270,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_SCALP,146,29,"{""age_min"":32,""geometry_id"":""C_SCALP"",""hour_window"":""LONDON"",""reentry_atr"":0.07,""sweep_atr"":0.12,""wick_min"":0.4,""width_atr_max"":8.0,""width_atr_min"":2.0}"
29297,017eefa47a193e1d,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_BALANCED,338,57,"{""age_min"":32,""geometry_id"":""C_BALANCED"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.07,""sweep_atr"":0.07,""wick_min"":0.1,""width_atr_max"":8.0,""width_atr_min"":1.0}"
29298,018b1119a638ac08,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_BALANCED,1274,266,"{""age_min"":8,""geometry_id"":""C_BALANCED"",""hour_window"":""ALL_LIQUID"",""reentry_atr"":0.03,""sweep_atr"":0.0,""wick_min"":0.25,""width_atr_max"":8.0,""width_atr_min"":3.0}"
29299,018c91198ee150ad,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_SCALP,303,55,"{""age_min"":16,""geometry_id"":""C_SCALP"",""hour_window"":""LONDON"",""reentry_atr"":0.03,""sweep_atr"":0.0,""wick_min"":0.1,""width_atr_max"":6.0,""width_atr_min"":3.0}"
29300,018fc7d80e7765b7,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_SCALP,1006,220,"{""age_min"":16,""geometry_id"":""C_SCALP"",""hour_window"":""ALL_LIQUID"",""reentry_atr"":0.03,""sweep_atr"":0.0,""wick_min"":0.25,""width_atr_max"":8.0,""width_atr_min"":2.0}"
29301,01951ca805ce8cd5,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_SCALP,197,33,"{""age_min"":64,""geometry_id"":""C_SCALP"",""hour_window"":""ALL_LIQUID"",""reentry_atr"":0.07,""sweep_atr"":0.0,""wick_min"":0.4,""width_atr_max"":8.0,""width_atr_min"":3.0}"
29302,0199f2c1f5751bb3,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_EXTENDED,1001,194,"{""age_min"":8,""geometry_id"":""C_EXTENDED"",""hour_window"":""LONDON_NY"",""reentry_atr"":0.0,""sweep_atr"":0.0,""wick_min"":0.25,""width_atr_max"":6.0,""width_atr_min"":1.0}"
29303,019d9139f52e04a3,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_SCALP,188,37,"{""age_min"":8,""geometry_id"":""C_SCALP"",""hour_window"":""LONDON"",""reentry_atr"":0.07,""sweep_atr"":0.07,""wick_min"":0.25,""width_atr_max"":4.0,""width_atr_min"":2.0}"
29304,01a347079d16ad9f,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_BALANCED,1086,229,"{""age_min"":8,""geometry_id"":""C_BALANCED"",""hour_window"":""LONDON_NY"",""reentry_atr"":0.0,""sweep_atr"":0.12,""wick_min"":0.1,""width_atr_max"":8.0,""width_atr_min"":2.0}"
29305,01a54969aa8d76e2,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_SCALP,701,139,"{""age_min"":8,""geometry_id"":""C_SCALP"",""hour_window"":""LONDON_NY"",""reentry_atr"":0.07,""sweep_atr"":0.03,""wick_min"":0.25,""width_atr_max"":6.0,""width_atr_min"":3.0}"
29306,01ae69061bad4f6d,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_BALANCED,1058,206,"{""age_min"":8,""geometry_id"":""C_BALANCED"",""hour_window"":""LONDON_NY"",""reentry_atr"":0.03,""sweep_atr"":0.03,""wick_min"":0.1,""width_atr_max"":6.0,""width_atr_min"":1.0}"
29307,01af8a67b99bc1b5,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_BALANCED,693,135,"{""age_min"":32,""geometry_id"":""C_BALANCED"",""hour_window"":""ALL_LIQUID"",""reentry_atr"":0.07,""sweep_atr"":0.0,""wick_min"":0.1,""width_atr_max"":8.0,""width_atr_min"":3.0}"
29308,01b597e97bb5eb0a,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_EXTENDED,1792,369,"{""age_min"":8,""geometry_id"":""C_EXTENDED"",""hour_window"":""ALL_LIQUID"",""reentry_atr"":0.03,""sweep_atr"":0.0,""wick_min"":0.1,""width_atr_max"":8.0,""width_atr_min"":2.0}"
29309,01c21b9ac8489cb7,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_EXTENDED,1144,228,"{""age_min"":8,""geometry_id"":""C_EXTENDED"",""hour_window"":""ALL_LIQUID"",""reentry_atr"":0.0,""sweep_atr"":0.07,""wick_min"":0.1,""width_atr_max"":6.0,""width_atr_min"":2.0}"
29310,01c22c9940364f6b,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_BALANCED,353,76,"{""age_min"":8,""geometry_id"":""C_BALANCED"",""hour_window"":""LONDON"",""reentry_atr"":0.0,""sweep_atr"":0.0,""wick_min"":0.4,""width_atr_max"":6.0,""width_atr_min"":1.0}"
29311,01c92b65d5f5b52e,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_SCALP,108,19,"{""age_min"":32,""geometry_id"":""C_SCALP"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.0,""sweep_atr"":0.12,""wick_min"":0.4,""width_atr_max"":6.0,""width_atr_min"":3.0}"
29312,01d60a824979ca6e,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_SCALP,958,209,"{""age_min"":16,""geometry_id"":""C_SCALP"",""hour_window"":""ALL_LIQUID"",""reentry_atr"":0.0,""sweep_atr"":0.03,""wick_min"":0.25,""width_atr_max"":8.0,""width_atr_min"":2.0}"
29313,01dcc104cc13a324,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_BALANCED,366,78,"{""age_min"":32,""geometry_id"":""C_BALANCED"",""hour_window"":""LONDON_NY"",""reentry_atr"":0.03,""sweep_atr"":0.03,""wick_min"":0.4,""width_atr_max"":8.0,""width_atr_min"":2.0}"
29314,01dd9995c39ae3fe,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_EXTENDED,768,164,"{""age_min"":8,""geometry_id"":""C_EXTENDED"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.03,""sweep_atr"":0.07,""wick_min"":0.25,""width_atr_max"":8.0,""width_atr_min"":1.0}"
29315,01de4517e8fdfd29,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_BALANCED,423,87,"{""age_min"":16,""geometry_id"":""C_BALANCED"",""hour_window"":""ALL_LIQUID"",""reentry_atr"":0.0,""sweep_atr"":0.03,""wick_min"":0.4,""width_atr_max"":6.0,""width_atr_min"":3.0}"
29316,01e5431e6d31b91e,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_BALANCED,202,44,"{""age_min"":8,""geometry_id"":""C_BALANCED"",""hour_window"":""LONDON_NY"",""reentry_atr"":0.0,""sweep_atr"":0.0,""wick_min"":0.4,""width_atr_max"":4.0,""width_atr_min"":3.0}"
29317,01e99559630559fd,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_EXTENDED,721,156,"{""age_min"":16,""geometry_id"":""C_EXTENDED"",""hour_window"":""ALL_LIQUID"",""reentry_atr"":0.07,""sweep_atr"":0.0,""wick_min"":0.4,""width_atr_max"":8.0,""width_atr_min"":1.0}"
29318,01ece707815c1e41,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_SCALP,389,80,"{""age_min"":8,""geometry_id"":""C_SCALP"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.07,""sweep_atr"":0.07,""wick_min"":0.4,""width_atr_max"":6.0,""width_atr_min"":2.0}"
29319,01fc7c089e297006,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_SCALP,570,120,"{""age_min"":8,""geometry_id"":""C_SCALP"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.0,""sweep_atr"":0.12,""wick_min"":0.25,""width_atr_max"":8.0,""width_atr_min"":3.0}"
29320,02164392a2c7b888,CHOP,CHOP_MATURE_EPISODE_EDGE_REENTRY,C_BALANCED,518,102,"{""age_min"":16,""geometry_id"":""C_BALANCED"",""hour_window"":""LONDON_NY"",""reentry_atr"":0.07,""sweep_atr"":0.07,""wick_min"":0.1,""width_atr_max"":6.0,""width_atr_min"":3.0}"
