attempt_no,variant_id,regime_owner,mechanic,geometry_id,raw_signal_count,minimum_era_raw_signal_count,parameters_json
24130,00dec17bc5992b22,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_FAST,455,58,"{""body_min"":0.2,""feature_key"":""H1_D2"",""geometry_id"":""C_FAST"",""hour_window"":""LIQUID"",""macro_mode"":""CONSENSUS"",""pressure_min"":1.0,""require_confirmation"":false,""z_min"":0.75}"
24131,00f708d23f9a7960,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_FAST,493,51,"{""body_min"":0.2,""feature_key"":""H1_D2"",""geometry_id"":""C_FAST"",""hour_window"":""LIQUID"",""macro_mode"":""CONSENSUS"",""pressure_min"":0.0,""require_confirmation"":true,""z_min"":1.0}"
24132,00fa5e434e4702ae,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_FAST,5808,582,"{""body_min"":0.0,""feature_key"":""H1_D2"",""geometry_id"":""C_FAST"",""hour_window"":""ALL"",""macro_mode"":""ANY"",""pressure_min"":1.0,""require_confirmation"":false,""z_min"":1.0}"
24133,01110a8256a0fa91,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_FAST,1372,129,"{""body_min"":0.2,""feature_key"":""H1_D10"",""geometry_id"":""C_FAST"",""hour_window"":""ALL"",""macro_mode"":""DISAGREEMENT"",""pressure_min"":0.0,""require_confirmation"":false,""z_min"":1.5}"
24134,01367b2a1f9b87e6,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_FAST,246,17,"{""body_min"":0.2,""feature_key"":""H1_D10"",""geometry_id"":""C_FAST"",""hour_window"":""NEW_YORK"",""macro_mode"":""ANY"",""pressure_min"":0.0,""require_confirmation"":true,""z_min"":1.5}"
24135,013f6a26bff87a19,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_EXTENDED,267,25,"{""body_min"":0.4,""feature_key"":""H1_D10"",""geometry_id"":""C_EXTENDED"",""hour_window"":""NEW_YORK"",""macro_mode"":""ANY"",""pressure_min"":0.0,""require_confirmation"":true,""z_min"":1.25}"
24136,01432c37df140b51,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_BALANCED,8560,1002,"{""body_min"":0.0,""feature_key"":""H1_D10"",""geometry_id"":""C_BALANCED"",""hour_window"":""LIQUID"",""macro_mode"":""ANY"",""pressure_min"":0.5,""require_confirmation"":false,""z_min"":0.75}"
24137,0155caf089434c2a,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_BALANCED,533,71,"{""body_min"":0.4,""feature_key"":""H1_D10"",""geometry_id"":""C_BALANCED"",""hour_window"":""NEW_YORK"",""macro_mode"":""CONSENSUS"",""pressure_min"":0.0,""require_confirmation"":false,""z_min"":1.5}"
24138,0174dd988822d45e,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_FAST,3316,365,"{""body_min"":0.0,""feature_key"":""H1_D2"",""geometry_id"":""C_FAST"",""hour_window"":""LIQUID"",""macro_mode"":""ANY"",""pressure_min"":1.0,""require_confirmation"":false,""z_min"":1.25}"
24139,01895ce0f39ceee0,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_FAST,196,16,"{""body_min"":0.0,""feature_key"":""H1_D2"",""geometry_id"":""C_FAST"",""hour_window"":""LIQUID"",""macro_mode"":""ANY"",""pressure_min"":0.0,""require_confirmation"":true,""z_min"":2.0}"
24140,01af532f8e908dbf,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_EXTENDED,317,21,"{""body_min"":0.2,""feature_key"":""H1_D10"",""geometry_id"":""C_EXTENDED"",""hour_window"":""LIQUID"",""macro_mode"":""DISAGREEMENT"",""pressure_min"":0.0,""require_confirmation"":true,""z_min"":1.25}"
24141,01f4858284e25d8d,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_FAST,458,54,"{""body_min"":0.2,""feature_key"":""H1_D2"",""geometry_id"":""C_FAST"",""hour_window"":""NEW_YORK"",""macro_mode"":""ANY"",""pressure_min"":0.5,""require_confirmation"":false,""z_min"":2.0}"
24142,01faefbfa3cfd158,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_BALANCED,2443,226,"{""body_min"":0.0,""feature_key"":""H1_D2"",""geometry_id"":""C_BALANCED"",""hour_window"":""ALL"",""macro_mode"":""ANY"",""pressure_min"":1.0,""require_confirmation"":true,""z_min"":0.75}"
24143,021ce49f6e0c03e0,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_FAST,171,24,"{""body_min"":0.2,""feature_key"":""H1_D2"",""geometry_id"":""C_FAST"",""hour_window"":""LIQUID"",""macro_mode"":""CONSENSUS"",""pressure_min"":1.0,""require_confirmation"":false,""z_min"":1.5}"
24144,022da4bab47e8b47,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_EXTENDED,533,71,"{""body_min"":0.4,""feature_key"":""H1_D10"",""geometry_id"":""C_EXTENDED"",""hour_window"":""NEW_YORK"",""macro_mode"":""CONSENSUS"",""pressure_min"":0.0,""require_confirmation"":false,""z_min"":1.5}"
24145,0244529c9c809bc3,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_FAST,1109,104,"{""body_min"":0.2,""feature_key"":""H1_D10"",""geometry_id"":""C_FAST"",""hour_window"":""LIQUID"",""macro_mode"":""ANY"",""pressure_min"":0.0,""require_confirmation"":true,""z_min"":1.0}"
24146,0248db26edda645a,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_BALANCED,4789,515,"{""body_min"":0.0,""feature_key"":""H1_D2"",""geometry_id"":""C_BALANCED"",""hour_window"":""LIQUID"",""macro_mode"":""ANY"",""pressure_min"":0.0,""require_confirmation"":false,""z_min"":1.0}"
24147,026395d319837429,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_FAST,2985,354,"{""body_min"":0.0,""feature_key"":""H1_D2"",""geometry_id"":""C_FAST"",""hour_window"":""ALL"",""macro_mode"":""CONSENSUS"",""pressure_min"":0.0,""require_confirmation"":false,""z_min"":1.0}"
24148,0270dd5a7765f6b5,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_FAST,339,22,"{""body_min"":0.2,""feature_key"":""H1_D2"",""geometry_id"":""C_FAST"",""hour_window"":""LIQUID"",""macro_mode"":""ANY"",""pressure_min"":1.0,""require_confirmation"":true,""z_min"":1.5}"
24149,02803a463e944e67,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_EXTENDED,2455,253,"{""body_min"":0.0,""feature_key"":""H1_D10"",""geometry_id"":""C_EXTENDED"",""hour_window"":""LIQUID"",""macro_mode"":""ANY"",""pressure_min"":0.0,""require_confirmation"":true,""z_min"":0.75}"
24150,0286f79213c9065f,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_BALANCED,470,49,"{""body_min"":0.0,""feature_key"":""H1_D2"",""geometry_id"":""C_BALANCED"",""hour_window"":""NEW_YORK"",""macro_mode"":""DISAGREEMENT"",""pressure_min"":0.0,""require_confirmation"":true,""z_min"":0.75}"
24151,02caa83a25d0ad79,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_EXTENDED,625,49,"{""body_min"":0.4,""feature_key"":""H1_D2"",""geometry_id"":""C_EXTENDED"",""hour_window"":""LIQUID"",""macro_mode"":""DISAGREEMENT"",""pressure_min"":0.5,""require_confirmation"":false,""z_min"":0.75}"
24152,02d8d02e6ecb2bc1,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_FAST,4971,555,"{""body_min"":0.0,""feature_key"":""H1_D10"",""geometry_id"":""C_FAST"",""hour_window"":""ALL"",""macro_mode"":""ANY"",""pressure_min"":1.0,""require_confirmation"":false,""z_min"":1.25}"
24153,0323ffff867b4ece,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_BALANCED,271,27,"{""body_min"":0.2,""feature_key"":""H1_D2"",""geometry_id"":""C_BALANCED"",""hour_window"":""NEW_YORK"",""macro_mode"":""CONSENSUS"",""pressure_min"":0.5,""require_confirmation"":true,""z_min"":0.75}"
24154,0326df0d9e126592,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_EXTENDED,307,27,"{""body_min"":0.0,""feature_key"":""H1_D10"",""geometry_id"":""C_EXTENDED"",""hour_window"":""LIQUID"",""macro_mode"":""DISAGREEMENT"",""pressure_min"":0.0,""require_confirmation"":true,""z_min"":1.5}"
24155,0328c391757c46c1,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_EXTENDED,1216,160,"{""body_min"":0.0,""feature_key"":""H1_D10"",""geometry_id"":""C_EXTENDED"",""hour_window"":""LIQUID"",""macro_mode"":""ANY"",""pressure_min"":0.5,""require_confirmation"":false,""z_min"":2.0}"
24156,033c977c6c2d9466,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_FAST,456,62,"{""body_min"":0.4,""feature_key"":""H1_D10"",""geometry_id"":""C_FAST"",""hour_window"":""NEW_YORK"",""macro_mode"":""ANY"",""pressure_min"":1.0,""require_confirmation"":false,""z_min"":2.0}"
24157,034c626849c61b7c,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_FAST,579,64,"{""body_min"":0.0,""feature_key"":""H1_D10"",""geometry_id"":""C_FAST"",""hour_window"":""NEW_YORK"",""macro_mode"":""DISAGREEMENT"",""pressure_min"":0.0,""require_confirmation"":true,""z_min"":0.75}"
24158,036ee5433be21133,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_FAST,779,95,"{""body_min"":0.4,""feature_key"":""H1_D2"",""geometry_id"":""C_FAST"",""hour_window"":""NEW_YORK"",""macro_mode"":""ANY"",""pressure_min"":0.5,""require_confirmation"":false,""z_min"":1.5}"
24159,037ab7b399e43d18,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_FAST,234,21,"{""body_min"":0.2,""feature_key"":""H1_D2"",""geometry_id"":""C_FAST"",""hour_window"":""LIQUID"",""macro_mode"":""CONSENSUS"",""pressure_min"":0.5,""require_confirmation"":true,""z_min"":1.0}"
24160,037d0dc9f5cbf89b,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_EXTENDED,3249,344,"{""body_min"":0.2,""feature_key"":""H1_D2"",""geometry_id"":""C_EXTENDED"",""hour_window"":""ALL"",""macro_mode"":""ANY"",""pressure_min"":0.0,""require_confirmation"":false,""z_min"":1.25}"
24161,039073633b5210a5,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_EXTENDED,802,105,"{""body_min"":0.2,""feature_key"":""H1_D10"",""geometry_id"":""C_EXTENDED"",""hour_window"":""ALL"",""macro_mode"":""CONSENSUS"",""pressure_min"":0.5,""require_confirmation"":false,""z_min"":1.25}"
24162,039edbbe5875f4c1,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_BALANCED,1912,253,"{""body_min"":0.2,""feature_key"":""H1_D10"",""geometry_id"":""C_BALANCED"",""hour_window"":""NEW_YORK"",""macro_mode"":""ANY"",""pressure_min"":0.0,""require_confirmation"":false,""z_min"":1.25}"
24163,03da9ec27b47634b,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_FAST,6682,684,"{""body_min"":0.2,""feature_key"":""H1_D2"",""geometry_id"":""C_FAST"",""hour_window"":""ALL"",""macro_mode"":""ANY"",""pressure_min"":0.0,""require_confirmation"":false,""z_min"":0.75}"
24164,0413447b39619ec1,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_EXTENDED,2056,241,"{""body_min"":0.4,""feature_key"":""H1_D2"",""geometry_id"":""C_EXTENDED"",""hour_window"":""LIQUID"",""macro_mode"":""ANY"",""pressure_min"":0.5,""require_confirmation"":false,""z_min"":1.25}"
24165,041dd800961e3de3,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_FAST,2046,196,"{""body_min"":0.2,""feature_key"":""H1_D10"",""geometry_id"":""C_FAST"",""hour_window"":""ALL"",""macro_mode"":""ANY"",""pressure_min"":0.5,""require_confirmation"":true,""z_min"":0.75}"
24166,046600c81eb15bad,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_BALANCED,601,50,"{""body_min"":0.0,""feature_key"":""H1_D2"",""geometry_id"":""C_BALANCED"",""hour_window"":""NEW_YORK"",""macro_mode"":""DISAGREEMENT"",""pressure_min"":0.5,""require_confirmation"":false,""z_min"":0.75}"
24167,0466ab11cbfe226c,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_FAST,1119,106,"{""body_min"":0.0,""feature_key"":""H1_D2"",""geometry_id"":""C_FAST"",""hour_window"":""LIQUID"",""macro_mode"":""DISAGREEMENT"",""pressure_min"":0.0,""require_confirmation"":false,""z_min"":1.5}"
24168,046bde2f98a1afab,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_EXTENDED,339,28,"{""body_min"":0.4,""feature_key"":""H1_D2"",""geometry_id"":""C_EXTENDED"",""hour_window"":""LIQUID"",""macro_mode"":""ANY"",""pressure_min"":0.5,""require_confirmation"":true,""z_min"":1.25}"
24169,048c1f19b951fb57,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_FAST,3115,353,"{""body_min"":0.4,""feature_key"":""H1_D10"",""geometry_id"":""C_FAST"",""hour_window"":""ALL"",""macro_mode"":""ANY"",""pressure_min"":0.0,""require_confirmation"":false,""z_min"":1.25}"
24170,048f4e240b4ca56c,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_FAST,202,22,"{""body_min"":0.4,""feature_key"":""H1_D2"",""geometry_id"":""C_FAST"",""hour_window"":""NEW_YORK"",""macro_mode"":""DISAGREEMENT"",""pressure_min"":0.5,""require_confirmation"":false,""z_min"":1.25}"
24171,049452ce3f243cd5,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_FAST,1320,119,"{""body_min"":0.0,""feature_key"":""H1_D2"",""geometry_id"":""C_FAST"",""hour_window"":""LIQUID"",""macro_mode"":""ANY"",""pressure_min"":1.0,""require_confirmation"":true,""z_min"":1.0}"
24172,049d189f7d444054,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_FAST,414,51,"{""body_min"":0.2,""feature_key"":""H1_D10"",""geometry_id"":""C_FAST"",""hour_window"":""ALL"",""macro_mode"":""CONSENSUS"",""pressure_min"":1.0,""require_confirmation"":false,""z_min"":1.0}"
24173,04c0d548b0e393d2,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_EXTENDED,1087,101,"{""body_min"":0.2,""feature_key"":""H1_D2"",""geometry_id"":""C_EXTENDED"",""hour_window"":""ALL"",""macro_mode"":""ANY"",""pressure_min"":0.0,""require_confirmation"":true,""z_min"":1.0}"
24174,04ddbd6f6b6126a7,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_BALANCED,868,106,"{""body_min"":0.2,""feature_key"":""H1_D10"",""geometry_id"":""C_BALANCED"",""hour_window"":""NEW_YORK"",""macro_mode"":""DISAGREEMENT"",""pressure_min"":0.0,""require_confirmation"":false,""z_min"":1.25}"
24175,04ff21b7bf6e3d23,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_BALANCED,899,98,"{""body_min"":0.4,""feature_key"":""H1_D10"",""geometry_id"":""C_BALANCED"",""hour_window"":""LIQUID"",""macro_mode"":""DISAGREEMENT"",""pressure_min"":0.0,""require_confirmation"":false,""z_min"":1.5}"
24176,051d275184c075a1,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_EXTENDED,2182,223,"{""body_min"":0.2,""feature_key"":""H1_D2"",""geometry_id"":""C_EXTENDED"",""hour_window"":""ALL"",""macro_mode"":""ANY"",""pressure_min"":0.5,""require_confirmation"":false,""z_min"":1.5}"
24177,05234632b9e3a809,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_BALANCED,1513,196,"{""body_min"":0.2,""feature_key"":""H1_D2"",""geometry_id"":""C_BALANCED"",""hour_window"":""NEW_YORK"",""macro_mode"":""ANY"",""pressure_min"":0.5,""require_confirmation"":false,""z_min"":1.25}"
24178,052e3b1b239ce933,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_FAST,501,39,"{""body_min"":0.2,""feature_key"":""H1_D2"",""geometry_id"":""C_FAST"",""hour_window"":""ALL"",""macro_mode"":""DISAGREEMENT"",""pressure_min"":0.0,""require_confirmation"":true,""z_min"":1.0}"
24179,053f9e47de963cbb,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_BALANCED,239,23,"{""body_min"":0.2,""feature_key"":""H1_D10"",""geometry_id"":""C_BALANCED"",""hour_window"":""ALL"",""macro_mode"":""CONSENSUS"",""pressure_min"":0.5,""require_confirmation"":false,""z_min"":2.0}"
24180,0561db12645d0a37,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_FAST,1529,194,"{""body_min"":0.0,""feature_key"":""H1_D10"",""geometry_id"":""C_FAST"",""hour_window"":""NEW_YORK"",""macro_mode"":""ANY"",""pressure_min"":1.0,""require_confirmation"":false,""z_min"":1.5}"
24181,05a05896dbd440bf,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_BALANCED,196,16,"{""body_min"":0.0,""feature_key"":""H1_D2"",""geometry_id"":""C_BALANCED"",""hour_window"":""LIQUID"",""macro_mode"":""ANY"",""pressure_min"":0.5,""require_confirmation"":true,""z_min"":2.0}"
24182,05c9b9592f29150e,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_FAST,707,85,"{""body_min"":0.0,""feature_key"":""H1_D10"",""geometry_id"":""C_FAST"",""hour_window"":""NEW_YORK"",""macro_mode"":""DISAGREEMENT"",""pressure_min"":0.0,""require_confirmation"":false,""z_min"":1.5}"
24183,05cda06798258c20,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_FAST,298,44,"{""body_min"":0.2,""feature_key"":""H1_D2"",""geometry_id"":""C_FAST"",""hour_window"":""NEW_YORK"",""macro_mode"":""CONSENSUS"",""pressure_min"":0.5,""require_confirmation"":false,""z_min"":1.5}"
24184,05cddf1ddc0ae22a,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_BALANCED,6682,684,"{""body_min"":0.2,""feature_key"":""H1_D2"",""geometry_id"":""C_BALANCED"",""hour_window"":""ALL"",""macro_mode"":""ANY"",""pressure_min"":0.5,""require_confirmation"":false,""z_min"":0.75}"
24185,05dd766e75d0edb5,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_EXTENDED,305,39,"{""body_min"":0.0,""feature_key"":""H1_D2"",""geometry_id"":""C_EXTENDED"",""hour_window"":""LIQUID"",""macro_mode"":""CONSENSUS"",""pressure_min"":1.0,""require_confirmation"":false,""z_min"":1.25}"
24186,05e038257a1e9169,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_BALANCED,655,46,"{""body_min"":0.2,""feature_key"":""H1_D10"",""geometry_id"":""C_BALANCED"",""hour_window"":""ALL"",""macro_mode"":""DISAGREEMENT"",""pressure_min"":0.5,""require_confirmation"":false,""z_min"":1.25}"
24187,05e7338ddf1d5721,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_EXTENDED,3900,431,"{""body_min"":0.2,""feature_key"":""H1_D2"",""geometry_id"":""C_EXTENDED"",""hour_window"":""LIQUID"",""macro_mode"":""ANY"",""pressure_min"":1.0,""require_confirmation"":false,""z_min"":1.0}"
24188,05ee2f56bd4dc0a1,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_BALANCED,1693,214,"{""body_min"":0.0,""feature_key"":""H1_D2"",""geometry_id"":""C_BALANCED"",""hour_window"":""LIQUID"",""macro_mode"":""CONSENSUS"",""pressure_min"":0.0,""require_confirmation"":false,""z_min"":1.25}"
24189,060571714b82bd1a,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_BALANCED,1109,104,"{""body_min"":0.2,""feature_key"":""H1_D10"",""geometry_id"":""C_BALANCED"",""hour_window"":""LIQUID"",""macro_mode"":""ANY"",""pressure_min"":1.0,""require_confirmation"":true,""z_min"":1.0}"
24190,060997c2e8a6266a,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_FAST,463,60,"{""body_min"":0.2,""feature_key"":""H1_D10"",""geometry_id"":""C_FAST"",""hour_window"":""LIQUID"",""macro_mode"":""CONSENSUS"",""pressure_min"":0.5,""require_confirmation"":false,""z_min"":1.5}"
24191,0624e05a4e313576,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_FAST,187,23,"{""body_min"":0.2,""feature_key"":""H1_D2"",""geometry_id"":""C_FAST"",""hour_window"":""LIQUID"",""macro_mode"":""CONSENSUS"",""pressure_min"":0.5,""require_confirmation"":false,""z_min"":2.0}"
24192,06344dd6230d6cf2,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_EXTENDED,2658,320,"{""body_min"":0.4,""feature_key"":""H1_D10"",""geometry_id"":""C_EXTENDED"",""hour_window"":""LIQUID"",""macro_mode"":""ANY"",""pressure_min"":0.5,""require_confirmation"":false,""z_min"":1.25}"
24193,06506626b38250d1,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_EXTENDED,367,28,"{""body_min"":0.4,""feature_key"":""H1_D10"",""geometry_id"":""C_EXTENDED"",""hour_window"":""ALL"",""macro_mode"":""DISAGREEMENT"",""pressure_min"":0.5,""require_confirmation"":false,""z_min"":1.5}"
24194,06560a50f0dfce60,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_BALANCED,645,58,"{""body_min"":0.0,""feature_key"":""H1_D10"",""geometry_id"":""C_BALANCED"",""hour_window"":""LIQUID"",""macro_mode"":""ANY"",""pressure_min"":1.0,""require_confirmation"":true,""z_min"":1.5}"
24195,065be3a8fa6eb99a,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_BALANCED,383,36,"{""body_min"":0.2,""feature_key"":""H1_D2"",""geometry_id"":""C_BALANCED"",""hour_window"":""NEW_YORK"",""macro_mode"":""DISAGREEMENT"",""pressure_min"":0.5,""require_confirmation"":false,""z_min"":1.0}"
24196,067d6c8ee4329209,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_EXTENDED,362,35,"{""body_min"":0.0,""feature_key"":""H1_D2"",""geometry_id"":""C_EXTENDED"",""hour_window"":""NEW_YORK"",""macro_mode"":""CONSENSUS"",""pressure_min"":0.5,""require_confirmation"":true,""z_min"":0.75}"
24197,06955a404f1fafcf,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_BALANCED,4708,615,"{""body_min"":0.0,""feature_key"":""H1_D10"",""geometry_id"":""C_BALANCED"",""hour_window"":""NEW_YORK"",""macro_mode"":""ANY"",""pressure_min"":0.0,""require_confirmation"":false,""z_min"":0.75}"
24198,06cfb9124745e521,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_BALANCED,1145,122,"{""body_min"":0.0,""feature_key"":""H1_D2"",""geometry_id"":""C_BALANCED"",""hour_window"":""NEW_YORK"",""macro_mode"":""ANY"",""pressure_min"":0.0,""require_confirmation"":true,""z_min"":0.75}"
24199,07053094b9c04c0e,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_EXTENDED,302,29,"{""body_min"":0.4,""feature_key"":""H1_D2"",""geometry_id"":""C_EXTENDED"",""hour_window"":""LIQUID"",""macro_mode"":""CONSENSUS"",""pressure_min"":0.0,""require_confirmation"":true,""z_min"":1.0}"
24200,070577a6c33a745a,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_FAST,187,15,"{""body_min"":0.2,""feature_key"":""H1_D2"",""geometry_id"":""C_FAST"",""hour_window"":""NEW_YORK"",""macro_mode"":""CONSENSUS"",""pressure_min"":0.5,""require_confirmation"":true,""z_min"":1.0}"
24201,0730e1688768b5b4,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_BALANCED,154,16,"{""body_min"":0.4,""feature_key"":""H1_D10"",""geometry_id"":""C_BALANCED"",""hour_window"":""ALL"",""macro_mode"":""CONSENSUS"",""pressure_min"":1.0,""require_confirmation"":false,""z_min"":1.5}"
24202,0740c489a6966555,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_BALANCED,207,27,"{""body_min"":0.2,""feature_key"":""H1_D2"",""geometry_id"":""C_BALANCED"",""hour_window"":""ALL"",""macro_mode"":""CONSENSUS"",""pressure_min"":0.5,""require_confirmation"":false,""z_min"":2.0}"
24203,07565451754b2886,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_BALANCED,6921,800,"{""body_min"":0.2,""feature_key"":""H1_D10"",""geometry_id"":""C_BALANCED"",""hour_window"":""LIQUID"",""macro_mode"":""ANY"",""pressure_min"":1.0,""require_confirmation"":false,""z_min"":0.75}"
